symbol,policy,allow_open,allow_reopen,allow_double_down,allow_sell,reason,evidence_source,review_after,updated_at
BHF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.4700 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BHRB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4573 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BIII,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6913 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BIO.B,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.8817 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BIT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.0997 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BIXI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6667 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BKH,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.7858 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BKHA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=2.9887 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BKT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.3732 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BLUW,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.9666 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BLW,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.2744 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BLZR,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6565 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BME,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.3156 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BMEZ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.5860 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BMN,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.1752 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BMY,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8651 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BNL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4838 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BNS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.9897 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BOE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.3380 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BPAC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7541 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRK.B,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.0867 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRSP,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.7662 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.2783 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRW,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.5072 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BRX,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8948 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BSBK,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.6075 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BSL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.5855 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BTO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4613 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BTT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=2.5294 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BTZ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.7301 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BUI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4526 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BUSE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.7489 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BVFL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.3083 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BWG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.4351 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BXMT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.8840 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BXSL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.3170 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
BY,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.0687 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CAF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.6731 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CAPN,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.6272 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.9049 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CBAN,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.9702 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CBC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.3590 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CBFV,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.3108 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CBSH,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.9273 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CCAQ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.9225 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CCII,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.9146 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CCIX,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.8955 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CCO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.4014 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CEPF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.8451 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CEPO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.0296 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CEPV,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.2753 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CET,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.8416 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CEV,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.1417 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CFFN,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.9121 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CHAR,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.3282 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CHCO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.6010 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CHEC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.2129 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CHI,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.6836 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CHPG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.8273 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CHT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=6.4018 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CHY,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8003 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CIF,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.3745 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CII,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.1967 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CIK,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.3465 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CINF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.8328 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CIX,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8742 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CLM,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.9798 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CLST,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.7418 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CMS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.9122 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CNA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.9684 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CNP,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.1001 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
COLA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.1499 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
COPL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.3604 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
COSO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.7142 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CPBI,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.7170 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CPHC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.8159 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CPK,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.1101 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CPT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.9291 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CPZ,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.2617 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CRAC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.5513 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CRAN,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.0475 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CRAQ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.5171 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CRF,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.6467 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CSQ,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.0356 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CSWC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.1858 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CTO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8118 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CTVA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.8917 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CUB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.0700 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CWAN,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=2.4494 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CWBC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.7122 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
CWT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.9399 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
D,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.4622 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DAAQ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.5707 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DBL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.8194 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DBRG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.2177 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DFP,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.5970 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DHF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.0429 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DIS,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.7275 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DLY,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.1266 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DMA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.9264 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DMAA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7243 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DMB,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.4373 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DMII,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.6116 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DMO,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=4.9742 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DNMX,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.5647 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DNP,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.3348 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DPG,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.1408 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DRDB,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.7339 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DSAC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=0.8558 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DSL,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.0567 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DSM,no_new_open,false,false,true,true,valid_months=6 avg_monthly_range_pct=5.4137 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DSU,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.8791 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DTE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.1748 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DTF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.8076 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DTSQ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=2.6666 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
